id_vuelo,numero_vuelo,id_destino,aerolinea,precio_base,fecha_salida,capacidad_total,asientos_disponibles,modelo_avion
1,FL381531,63,Iberia,205.42,2026-05-08 00:05:43,389,358,Boeing 787
2,FL428273,34,Avianca,312.29,2026-05-19 13:03:48,234,124,Airbus A320
3,FL916251,260,Delta,445.09,2026-05-06 01:53:12,274,124,Boeing 787
4,FL852460,141,Iberia,862.81,2026-05-07 21:56:36,303,79,Boeing 737
5,FL866774,232,American Airlines,387.49,2026-05-28 15:05:59,198,139,Boeing 737
6,FL167613,14,LATAM,1125.03,2026-05-25 07:11:55,271,68,Boeing 737
7,FL959485,45,American Airlines,477.02,2026-05-23 21:40:34,217,158,Boeing 787
8,FL291217,237,American Airlines,1105.28,2026-05-12 15:09:32,283,110,Airbus A350
9,FL196409,276,American Airlines,128.02,2026-05-19 12:37:47,395,147,Boeing 737
10,FL763214,190,Delta,1120.53,2026-05-06 12:41:55,289,215,Airbus A350
11,FL359765,216,Delta,535.4,2026-05-07 14:58:57,151,72,Boeing 737
12,FL668835,288,Sky,730.88,2026-05-08 03:25:07,336,205,Airbus A320
13,FL519555,141,Iberia,971.35,2026-05-26 16:58:48,317,32,Airbus A350
14,FL701659,299,Delta,282.25,2026-05-29 12:42:07,180,153,Airbus A350
15,FL678685,300,Iberia,736.91,2026-05-23 13:15:22,300,298,Airbus A350
16,FL370642,186,American Airlines,663.82,2026-05-05 11:24:47,279,206,Airbus A350
17,FL333180,14,Avianca,657.97,2026-05-01 07:09:54,336,112,Airbus A320
18,FL922172,61,Delta,252.47,2026-05-15 05:57:27,267,1,Boeing 787
19,FL613315,292,Avianca,1179.47,2026-05-09 12:37:47,393,232,Boeing 737
20,FL964766,47,American Airlines,173.45,2026-05-25 22:28:35,343,245,Boeing 787
21,FL129089,259,Iberia,142.25,2026-05-16 14:43:26,334,2,Airbus A320
22,FL122600,172,Avianca,853.91,2026-05-27 09:03:22,272,132,Airbus A350
23,FL945464,10,LATAM,746.39,2026-05-05 12:32:27,291,144,Airbus A350
24,FL649600,100,Iberia,320.89,2026-05-01 10:42:17,383,198,Airbus A350
25,FL625342,5,Delta,378.33,2026-05-24 00:01:48,337,164,Boeing 787
26,FL400782,42,American Airlines,307.91,2026-05-07 16:12:25,365,295,Airbus A320
27,FL910528,250,Avianca,1129.97,2026-05-09 22:07:57,157,22,Airbus A350
28,FL173619,62,American Airlines,326.33,2026-05-13 21:27:25,237,212,Boeing 737
29,FL885335,292,Avianca,530.82,2026-05-14 07:07:48,235,122,Airbus A350
30,FL387624,39,Avianca,388.27,2026-05-22 13:10:59,394,286,Boeing 737
31,FL236532,236,LATAM,940.81,2026-05-22 17:12:18,334,189,Airbus A350
32,FL126470,269,Avianca,784.1,2026-05-12 01:30:20,215,172,Airbus A350
33,FL454623,211,Avianca,766.14,2026-05-16 11:14:44,192,111,Airbus A320
34,FL414915,275,Sky,1060.59,2026-05-11 20:29:10,342,314,Boeing 787
35,FL837447,136,Sky,130.42,2026-05-21 04:02:31,182,135,Boeing 787
36,FL557106,65,LATAM,1129.22,2026-05-26 04:53:07,338,53,Airbus A350
37,FL298376,276,Delta,1083.46,2026-05-24 23:29:56,233,205,Airbus A320
38,FL751551,277,Avianca,211.79,2026-05-08 20:34:54,230,91,Boeing 737
39,FL472509,219,Delta,234.3,2026-05-08 01:48:04,239,163,Airbus A320
40,FL366403,128,Sky,1070.29,2026-05-15 12:53:52,153,6,Airbus A320
41,FL957136,67,Delta,884.69,2026-05-21 08:52:07,311,38,Airbus A320
42,FL206495,6,American Airlines,1053.0,2026-05-18 15:23:56,185,114,Boeing 737
43,FL180648,266,LATAM,506.02,2026-05-23 20:01:07,351,89,Boeing 787
44,FL160635,280,Iberia,445.76,2026-05-26 18:09:49,380,110,Airbus A320
45,FL848619,290,Sky,398.29,2026-05-09 02:40:05,151,126,Airbus A320
46,FL898072,115,LATAM,1099.59,2026-05-08 10:08:58,182,37,Boeing 787
47,FL318020,293,LATAM,550.33,2026-05-25 08:41:18,160,42,Airbus A350
48,FL734323,166,Delta,552.46,2026-05-13 02:22:13,240,206,Airbus A350
49,FL391209,185,Sky,1184.31,2026-05-10 11:27:29,227,149,Boeing 787
50,FL529139,283,Avianca,958.13,2026-05-06 10:45:21,338,239,Airbus A350
51,FL361389,128,Iberia,297.85,2026-05-08 00:34:29,188,18,Boeing 787
52,FL208503,21,Delta,714.95,2026-05-17 18:15:16,238,50,Boeing 787
53,FL735279,216,Iberia,356.63,2026-05-09 23:00:30,201,66,Boeing 737
54,FL735521,143,Delta,819.52,2026-05-05 04:28:37,255,238,Airbus A320
55,FL932440,217,American Airlines,620.25,2026-05-20 18:27:06,173,161,Airbus A350
56,FL727476,133,American Airlines,1134.4,2026-05-15 22:32:52,159,105,Airbus A350
57,FL413779,148,Avianca,305.92,2026-05-25 03:37:53,221,189,Airbus A320
58,FL426467,211,Delta,430.83,2026-05-06 22:04:14,276,74,Airbus A320
59,FL247033,20,American Airlines,230.74,2026-05-14 13:47:55,187,99,Boeing 787
60,FL896418,204,Delta,704.94,2026-05-12 14:01:20,151,102,Airbus A350
61,FL265092,106,Avianca,383.7,2026-05-09 12:46:25,287,225,Boeing 737
62,FL457576,253,Avianca,646.5,2026-05-23 20:40:36,255,228,Airbus A350
63,FL414744,177,American Airlines,897.92,2026-05-14 02:09:49,389,301,Airbus A320
64,FL769749,24,Sky,269.95,2026-05-13 20:31:09,292,195,Boeing 737
65,FL992863,140,American Airlines,285.86,2026-05-30 08:33:42,268,165,Airbus A320
66,FL423217,118,American Airlines,743.42,2026-05-28 03:19:49,303,303,Airbus A320
67,FL901383,83,Delta,118.13,2026-05-27 10:08:42,322,87,Airbus A320
68,FL890848,252,LATAM,861.78,2026-05-10 00:32:07,217,185,Airbus A320
69,FL314559,254,Delta,1131.63,2026-05-12 06:03:41,243,8,Boeing 787
70,FL520250,265,Avianca,1194.27,2026-05-13 03:55:10,200,99,Boeing 737
71,FL354229,146,American Airlines,316.07,2026-05-17 04:21:43,237,16,Airbus A350
72,FL158273,42,Iberia,1000.54,2026-05-01 11:13:34,158,115,Boeing 787
73,FL114751,255,Iberia,117.79,2026-05-12 04:07:43,328,140,Airbus A320
74,FL102807,48,Sky,294.37,2026-05-26 17:46:14,243,85,Boeing 737
75,FL313507,83,LATAM,533.86,2026-05-01 10:19:31,365,55,Airbus A350
76,FL346763,135,Iberia,272.68,2026-05-22 17:06:52,172,92,Boeing 737
77,FL916343,55,Sky,360.42,2026-04-30 18:38:05,182,161,Boeing 737
78,FL616705,128,Iberia,683.52,2026-05-26 08:20:22,250,83,Boeing 787
79,FL318379,156,Sky,460.52,2026-05-19 07:11:17,160,2,Airbus A350
80,FL891787,145,LATAM,879.02,2026-05-28 00:54:40,233,97,Airbus A350
81,FL505001,178,Delta,822.51,2026-05-05 19:35:32,320,18,Boeing 737
82,FL605408,110,Iberia,631.0,2026-05-24 23:53:29,154,129,Boeing 787
